AWS S3	Data Mgt	file object store	2	ADOPT
Cassandra	Data Mgt	NoSql DB	2	ADOPT
PostgreSQL	Data Mgt	RDBMS	2	ADOPT
Redis	Data Mgt	NoSql DB/caching	2	ADOPT
Solr	Data Mgt	NoSql Search DB	2	ADOPT
Java	Languages	impl. language	2	ADOPT
Javascript	Languages	impl. language	2	ADOPT
Python	Languages	impl. language	2	ADOPT
Docker	Platforms & Infrastructure	Container/Deployment	2	ADOPT
Jetty	Platforms & Infrastructure	webserver	2	ADOPT
ZMON	Platforms & Infrastructure	Zalando Monitoring System	2	ADOPT
STUPS	Platforms & Infrastructure	PaaS tool set	1.9	ADOPT
Nginx	Platforms & Infrastructure	webserver / loadbalancer	1.9	ADOPT
Hystrix	Platforms & Infrastructure	lib for fault tolerance	1.8	ADOPT
Spring	Techniques; Frameworks & Tools	impl. frw mixed	1.8	ADOPT
Scala	Languages	impl. language	1.8	ADOPT
AWS EMR	Data Mgt	data processing frw	1.8	ADOPT
AWS SNS	Data Mgt	messaging service	1.8	ADOPT
AWS SQS	Data Mgt	message queues	1.8	ADOPT
ElasticSearch	Data Mgt	NoSql Search DB	1.8	ADOPT
Nakadi	Data Mgt	event bus	1.8	ADOPT
Spark	Data Mgt	event processing	1.8	ADOPT
Go	Languages	impl. language	1.8	ADOPT
Swift	Languages	impl. language	1.8	ADOPT
etcd	Platforms & Infrastructure	distributed key/value store	1.8	ADOPT
Tomcat	Platforms & Infrastructure	webserver	1.8	ADOPT
Akka (Scala)	Techniques; Frameworks & Tools		1.8	ADOPT
Node.js	Techniques; Frameworks & Tools	server-side JS	1.8	ADOPT
ReactJS	Techniques; Frameworks & Tools	JS framework for SPA	1.8	ADOPT
RxJava (Android)	Techniques; Frameworks & Tools	reactive framework	1.8	ADOPT
OpenAPI (Swagger)	Techniques; Frameworks & Tools	rest api frw	1.8	ADOPT
HAProxy	Platforms & Infrastructure	loadbalancer	1.7	ADOPT
Kafka	Data Mgt	message queues	1.5	ADOPT
Play (Scala)	Techniques; Frameworks & Tools		1.5	ADOPT
scikit-learn	Techniques; Frameworks & Tools	lib for machine learning	1.5	ADOPT
Typescript	Languages	impl. language	1.4	TRIAL
Kubernetes	Platforms & Infrastructure	cluster resource manager	1.4	TRIAL
Angular	Techniques; Frameworks & Tools	JS framework	1.4	TRIAL
OpenNLP	Techniques; Frameworks & Tools	Natural Language Processing	1.3	TRIAL
Kairos	Data Mgt	TS DB	1.3	TRIAL
Clojure	Languages	impl. language	1.3	TRIAL
Thymeleaf	Techniques; Frameworks & Tools	Templating Framework	1.1	TRIAL
Presto	Data Mgt	query engine	1	TRIAL
Apache Camel	Techniques; Frameworks & Tools	enterprise integration framework	0.9	TRIAL
Camunda BPMN Engine	Techniques; Frameworks & Tools	workflow engine	0.8	TRIAL
AspectJ	Techniques; Frameworks & Tools	Aspect Oriented Language (JVM)	0.7	TRIAL
AWS DynamoDB	Data Mgt	NoSql DB	0.5	TRIAL
Undertow	Platforms & Infrastructure	webserver	0.4	TRIAL
Hadoop/HDFS	Data Mgt	distributed storage	0.3	TRIAL
Google BigQuery	Data Mgt	NoSql DB	0.3	TRIAL
Flink	Data Mgt	event processing	0.1	TRIAL
